rank_abs,Entity,Code,y2016,abs_change_pp,atlas2025_adult_highBMI_2025_pct,atlas2025_adult_obesity_2025_pct,atlas2025_obese_adults_2015_thousands,atlas2025_obese_adults_2030_thousands,atlas2023_annual_increase_adult_obesity_2020_2035_pct,atlas2023_adult_obesity_2035_pct,atlas2022_adult_obesity_2030_pct,atlas2022_annual_increase_adult_obesity_2010_2030_pct,atlas2022_men_obesity_2030_pct,atlas2022_women_obesity_2030_pct,country_atlas,page_atlas2022,page_atlas2023,page_atlas2025
38,Uzbekistan,UZB,16.6,4.8,68.0,34.0,4730.0,9380.0,2.9,29.0,23.1,2.5,19.7,26.37,Uzbekistan,272.0,218.0,256.0
38,Brazil,BRA,22.1,4.8,68.0,31.0,31080.0,58530.0,2.8,41.0,29.7,2.0,25.87,33.25,Brazil,104.0,60.0,89.0
40,Kazakhstan,KAZ,21.0,4.7,56.0,20.0,2040.0,2950.0,2.4,35.0,27.9,2.0,25.79,29.73,Kazakhstan,171.0,124.0,155.0
40,Cuba,CUB,24.6,4.7,60.0,24.0,1610.0,2330.0,,,32.2,1.8,26.36,37.81,Cuba,125.0,,109.0
40,Hungary,HUN,26.4,4.7,65.0,34.0,2200.0,2870.0,1.6,36.0,33.2,1.6,37.08,29.84,Hungary,159.0,112.0,143.0
40,Chile,CHL,28.0,4.7,83.0,42.0,4350.0,7540.0,1.9,43.0,35.8,1.6,32.72,38.7,Chile,115.0,71.0,100.0
44,Thailand,THA,10.0,4.6,49.0,17.0,6080.0,11240.0,5.3,28.0,15.7,4.0,11.35,19.71,Thailand,256.0,204.0,240.0
44,Netherlands,NLD,20.4,4.6,47.0,15.0,1900.0,2330.0,2.9,38.0,28.1,2.1,29.59,26.62,Netherlands,204.0,155.0,187.0
46,Tajikistan,TJK,14.2,4.5,64.0,27.0,920.0,2010.0,3.0,25.0,20.0,2.7,16.6,23.37,Tajikistan,254.0,202.0,238.0
46,Bolivia,BOL,20.2,4.5,70.0,32.0,1490.0,3030.0,2.9,38.0,27.1,2.1,20.51,33.51,Bolivia,101.0,57.0,86.0
46,Portugal,PRT,20.8,4.5,57.0,23.0,1680.0,2130.0,2.8,39.0,28.1,2.0,28.49,27.71,Portugal,223.0,172.0,206.0
46,Colombia,COL,22.3,4.5,64.0,26.0,6420.0,12020.0,2.5,39.0,29.3,1.9,24.32,34.01,Colombia,118.0,74.0,102.0
46,Norway,NOR,23.1,4.5,59.0,20.0,696.0,980.0,2.5,40.0,30.3,1.8,31.99,28.67,Norway,212.0,162.0,195.0
51,Ecuador,ECU,19.9,4.3,71.0,30.0,2280.0,4570.0,2.8,37.0,26.5,2.0,20.82,32.1,Ecuador,133.0,87.0,117.0
51,Romania,ROU,22.5,4.3,70.0,39.0,4100.0,6490.0,2.1,35.0,28.9,1.7,31.46,26.46,Romania,226.0,175.0,209.0
53,Bulgaria,BGR,25.0,4.2,54.0,22.0,1120.0,1220.0,1.8,37.0,31.4,1.5,33.75,29.27,Bulgaria,106.0,62.0,91.0
