Entity,Code,y2006,y2016,abs_change_pp,rel_change_pct,annual_pp_per_year,pop_2023,pop_last_year,pop_last,ncd_country_2025,Region,Superregion,un_member,un_name,pop_for_filter,pop_ge_5m,ncd_men_2006,ncd_women_2006,ncd_meanMW_2006,ncd_men_2016,ncd_women_2016,ncd_meanMW_2016,ncd_meanMW_abs_change_pp,ncd_men_abs_change_pp,ncd_women_abs_change_pp,rank_abs_all,rank_rel_all
Tanzania,TZA,5.1,8.4,3.3,64.7,0.33,66617606.0,2024.0,68560157.0,Tanzania,East Africa,Sub-Saharan Africa,True,United Republic of Tanzania,66617606.0,True,2.29566820072607,8.26957392894033,5.2826210648332,4.1562227962926395,13.217584978018301,8.68690388715547,3.40428282232227,1.8605545955665694,4.948011049077971,130.0,25.0
Mali,MLI,5.3,8.6,3.3,62.3,0.33,23769127.0,2024.0,24478595.0,Mali,West Africa,Sub-Saharan Africa,True,Mali,23769127.0,True,2.54238840983038,8.18535970950205,5.363874059666215,4.758568363800119,12.9201662105733,8.83936728718671,3.475493227520494,2.216179953969739,4.734806501071249,130.0,27.0
Pakistan,PAK,5.3,8.6,3.3,62.3,0.33,247504495.0,2024.0,251269164.0,Pakistan,South Asia,South Asia,True,Pakistan,247504495.0,True,3.56137983364141,7.6613792041417605,5.611379518891585,6.26478238215907,11.7545149453755,9.009648663767285,3.3982691448757,2.70340254851766,4.093135741233739,130.0,27.0
Slovakia,SVK,17.2,20.5,3.3,19.2,0.33,5426740.0,2024.0,5422069.0,Slovakia,Central Europe,Central and eastern Europe,True,Slovakia,5426740.0,True,17.312944838229498,18.3023734425427,17.8076591403861,21.7533457889026,20.801355957916602,21.277350873409603,3.4696917330235024,4.4404009506731015,2.4989825153739034,130.0,161.0
Cyprus,CYP,18.5,21.8,3.3,17.8,0.33,1344976.0,2024.0,1358282.0,Cyprus,Southwestern Europe,High-income western,True,Cyprus,1344976.0,False,18.2331154613156,20.1185950441239,19.17585525271975,22.6509097427845,22.518509913487,22.58470982813575,3.408854575416001,4.4177942814689,2.3999148693631014,130.0,168.0
Ukraine,UKR,20.8,24.1,3.3,15.9,0.33,37732836.0,2024.0,37860221.0,Ukraine,Eastern Europe,Central and eastern Europe,True,Ukraine,37732836.0,True,17.8585019114754,24.5170850785464,21.1877934950109,22.7568681137529,26.7184377865738,24.73765295016335,3.5498594551524505,4.898366202277501,2.2013527080274002,130.0,178.0
Angola,AGO,5.0,8.2,3.2,64.0,0.32,36749906.0,2024.0,37885849.0,Angola,Central and southern Africa,Sub-Saharan Africa,True,Angola,36749906.0,True,2.21391148464093,8.013333420443521,5.113622452542225,4.227555718084821,12.6102893034377,8.41892251076126,3.305300058219034,2.0136442334438907,4.596955882994179,136.0,26.0
Moldova,MDA,15.7,18.9,3.2,20.4,0.32,2457783.0,2024.0,2402306.0,Moldova,Eastern Europe,Central and eastern Europe,True,Republic of Moldova,2457783.0,False,12.727636629859902,19.4809556153755,16.1042961226177,16.7952136855538,22.02526711916,19.410240402356898,3.3059442797391974,4.067577055693899,2.544311503784499,136.0,151.0
Belgium,BEL,18.9,22.1,3.2,16.9,0.32,11779946.0,2024.0,11858610.0,Belgium,Northwestern Europe,High-income western,True,Belgium,11779946.0,True,19.475204454374502,19.7020727632448,19.588638608809653,23.9851087805987,21.8693587629467,22.9272337717727,3.3385951629630455,4.5099043262241985,2.1672859997018996,136.0,174.0
Indonesia,IDN,3.8,6.9,3.1,81.6,0.31,281190067.0,2024.0,283487931.0,Indonesia,Southeast Asia,East and southeast Asia,True,Indonesia,281190067.0,True,2.3323035294652303,5.62918796442056,3.9807457469428953,4.97848357714258,9.27857960273227,7.128531589937425,3.1477858429945296,2.6461800476773494,3.6493916383117098,139.0,9.0
Benin,BEN,6.5,9.6,3.1,47.7,0.31,14111034.0,2024.0,14462724.0,Benin,West Africa,Sub-Saharan Africa,True,Benin,14111034.0,True,2.95698305722524,10.1550897199119,6.55603638856857,4.90426046471212,14.8373554206438,9.87080794267796,3.31477155410939,1.9472774074868804,4.6822657007319,139.0,52.0
Liberia,LBR,6.8,9.9,3.1,45.6,0.31,5493031.0,2024.0,5612817.0,Liberia,West Africa,Sub-Saharan Africa,True,Liberia,5493031.0,True,3.5716606828040196,10.4790623831435,7.0253615329737595,5.732212020972479,14.8202555774252,10.27623379919884,3.2508722662250804,2.16055133816846,4.341193194281701,139.0,58.0
Israel,ISR,23.0,26.1,3.1,13.5,0.31,9849000.0,2024.0,9974400.0,Israel,Southwestern Europe,High-income western,True,Israel,9849000.0,True,22.1928590276351,25.3540315895465,23.7734453085908,26.815483566543,27.3018635045367,27.058673535539853,3.2852282269490516,4.6226245389079,1.9478319149902,139.0,184.0
Lithuania,LTU,23.2,26.3,3.1,13.4,0.31,2871585.0,2024.0,2888278.0,Lithuania,Eastern Europe,Central and eastern Europe,True,Lithuania,2871585.0,False,20.3615809757319,27.0019622588772,23.68177161730455,25.011711277744,28.9402333411126,26.9759723094283,3.294200692123752,4.650130302012098,1.9382710822353992,139.0,185.0
