Entity,Code,y2006,y2016,abs_change_pp,rel_change_pct,annual_pp_per_year,pop_2023,pop_last_year,pop_last,ncd_country_2025,Region,Superregion,un_member,un_name,pop_for_filter,pop_ge_5m,ncd_men_2006,ncd_women_2006,ncd_meanMW_2006,ncd_men_2016,ncd_women_2016,ncd_meanMW_2016,ncd_meanMW_abs_change_pp,ncd_men_abs_change_pp,ncd_women_abs_change_pp,rank_abs_all,rank_rel_all,rank_abs,rank_rel,rank_ncd_meanMW
Saudi Arabia,SAU,29.0,35.4,6.4,22.1,0.64,33702731.0,2024.0,35300280.0,Saudi Arabia,Middle East and north Africa,"Central Asia, Middle East and north Africa",True,Saudi Arabia,33702731.0,True,24.496755997965998,38.355988994915,31.4263724964405,31.725949548869796,43.7440156780893,37.734982613479545,6.308610117039045,7.229193550903798,5.388026683174296,15.0,138.0,10,96,11
Morocco,MAR,19.8,26.1,6.3,31.8,0.63,37712505.0,2024.0,38081173.0,Morocco,Middle East and north Africa,"Central Asia, Middle East and north Africa",True,Morocco,37712505.0,True,13.8363625967487,26.710707912291596,20.273535254520148,20.1671259452129,33.4324853373128,26.79980564126285,6.526270386742702,6.330763348464199,6.721777425021202,19.0,87.0,12,62,10
Iran,IRN,19.7,25.8,6.1,31.0,0.61,90608707.0,2024.0,91567738.0,Iran,Middle East and north Africa,"Central Asia, Middle East and north Africa",True,Iran (Islamic Republic of),90608707.0,True,13.8096399960017,27.4720066398428,20.640823317922248,19.9834681457158,33.472294408063306,26.727881276889555,6.087057958967307,6.173828149714101,6.000287768220506,22.0,93.0,13,66,13
Ireland,IRL,19.3,25.3,6.0,31.1,0.6,5311538.0,2024.0,5395790.0,Ireland,High-income English-speaking countries,High-income western,True,Ireland,5311538.0,True,19.4771813680801,20.5423746081605,20.009777988120298,25.9690906676116,26.5522419106188,26.2606662891152,6.250888300994902,6.4919092995315,6.0098673024583,23.0,92.0,14,65,12
Libya,LBY,26.5,32.5,6.0,22.6,0.6,7305659.0,2024.0,7381023.0,Libya,Middle East and north Africa,"Central Asia, Middle East and north Africa",True,Libya,7305659.0,True,19.756564714084902,35.812514004650495,27.7845393593677,25.8517240848162,41.080186505476505,33.46595529514635,5.681415935778652,6.095159370731299,5.267672500826009,23.0,135.0,14,94,26
United Kingdom,GBR,21.9,27.8,5.9,26.9,0.59,68492000.0,2024.0,69226000.0,United Kingdom,High-income English-speaking countries,High-income western,True,United Kingdom of Great Britain and Northern Ireland,68492000.0,True,21.329237440671,24.1786358147141,22.75393662769255,27.8766216740838,29.7127166323654,28.7946691532246,6.04073252553205,6.547384233412799,5.534080817651301,29.0,109.0,16,76,15
New Zealand,NZL,24.9,30.8,5.9,23.7,0.59,5200000.0,2024.0,5287500.0,New Zealand,High-income English-speaking countries,High-income western,True,New Zealand,5200000.0,True,24.6261087835353,26.962224326017697,25.7941665547765,31.0700017859939,32.5776061801755,31.8238039830847,6.029637428308202,6.443893002458598,5.615381854157803,29.0,125.0,16,86,16
Honduras,HND,15.6,21.4,5.8,37.2,0.58,10644851.0,2024.0,10825703.0,Honduras,Central Latin America,Latin America and the Caribbean,True,Honduras,10644851.0,True,10.9539372558222,21.2952288959167,16.124583075869452,16.2391185329223,27.9136860654084,22.076402299165352,5.9518192232958995,5.285181277100101,6.618457169491698,32.0,71.0,18,56,17
Jordan,JOR,29.7,35.5,5.8,19.5,0.58,11439213.0,2024.0,11552876.0,Jordan,Middle East and north Africa,"Central Asia, Middle East and north Africa",True,Jordan,11439213.0,True,22.5983359195317,39.3536765777321,30.9760062486319,29.171537301412,44.6041603783368,36.8878488398744,5.9118425912425,6.573201381880299,5.250483800604698,32.0,160.0,18,111,18
Malaysia,MYS,9.9,15.6,5.7,57.6,0.57,35126298.0,2024.0,35557673.0,Malaysia,Southeast Asia,East and southeast Asia,True,Malaysia,35126298.0,True,7.61568808699565,12.889830384874202,10.252759235934926,13.437500097920699,18.6385863337712,16.03804321584595,5.785283979911023,5.821812010925049,5.748755948896999,35.0,35.0,20,29,20
Yemen,YEM,11.4,17.1,5.7,50.0,0.57,39390799.0,2024.0,40583164.0,Yemen,Middle East and north Africa,"Central Asia, Middle East and north Africa",True,Yemen,39390799.0,True,7.4037568280758705,16.3205557539678,11.862156291021835,12.461457822667,22.972367363796202,17.7169125932316,5.854756302209767,5.05770099459113,6.651811609828403,35.0,45.0,20,38,19
El Salvador,SLV,18.9,24.6,5.7,30.2,0.57,6309624.0,2024.0,6338193.0,El Salvador,Central Latin America,Latin America and the Caribbean,True,El Salvador,6309624.0,True,14.0805583462724,24.1325475614468,19.106552953859598,19.5983904992383,30.0256679999569,24.8120292495976,5.705476295738002,5.517832152965898,5.893120438510103,35.0,97.0,20,68,23
Tunisia,TUN,21.3,26.9,5.6,26.3,0.56,12200431.0,2024.0,12277109.0,Tunisia,Middle East and north Africa,"Central Asia, Middle East and north Africa",True,Tunisia,12200431.0,True,14.1151239496564,29.8388125918909,21.97696827077365,19.867653638181302,35.6223585736617,27.7450061059215,5.768037835147851,5.752529688524902,5.7835459817708,40.0,111.0,23,78,21
Canada,CAN,23.8,29.4,5.6,23.5,0.56,40083484.0,2024.0,41288599.0,Canada,High-income English-speaking countries,High-income western,True,Canada,40083484.0,True,24.3385804495878,25.0863886630374,24.7124845563126,30.4713444968571,30.4442412656389,30.457792881248,5.745308324935401,6.132764047269301,5.3578526026015005,40.0,129.0,23,90,22
Australia,AUS,23.5,29.0,5.5,23.4,0.55,26659922.0,2024.0,27196812.0,Australia,High-income English-speaking countries,High-income western,True,Australia,26659922.0,True,24.2938831799605,24.441993084011703,24.3679381319861,30.5678231420639,29.513687638248697,30.0407553901563,5.672817258170198,6.273939962103402,5.071694554236995,45.0,131.0,25,91,27
Iraq,IRQ,24.9,30.4,5.5,22.1,0.55,45074049.0,2024.0,46042015.0,Iraq,Middle East and north Africa,"Central Asia, Middle East and north Africa",True,Iraq,45074049.0,True,18.3262923766626,32.9223676571136,25.6243300168881,24.3007441745434,38.3327644969471,31.31675433574525,5.692424318857153,5.9744517978808,5.410396839833503,45.0,138.0,25,96,24
Guatemala,GTM,15.8,21.2,5.4,34.2,0.54,18124838.0,2024.0,18406359.0,Guatemala,Central Latin America,Latin America and the Caribbean,True,Guatemala,18124838.0,True,10.8646824268886,21.348513505013898,16.10659796595125,15.666650950162401,27.454319743967996,21.5604853470652,5.453887381113951,4.801968523273802,6.105806238954099,47.0,80.0,27,59,29
Papua New Guinea,PNG,15.9,21.3,5.4,34.0,0.54,10389635.0,2024.0,10576502.0,Papua New Guinea,Melanesia,Pacific island nations,True,Papua New Guinea,10389635.0,True,12.1351905374397,20.8598552552928,16.49752289636625,17.2570514908744,26.791715747711198,22.0243836192928,5.52686072292655,5.1218609534347,5.931860492418398,47.0,81.0,27,60,28
South Africa,ZAF,22.9,28.3,5.4,23.6,0.54,63212384.0,2024.0,64007187.0,South Africa,Other sub-Saharan Africa,Sub-Saharan Africa,True,South Africa,63212384.0,True,10.4748734245277,35.1237284446516,22.79930093458965,15.984961957441298,40.9926706661117,28.4888163117765,5.689515377186851,5.510088532913597,5.868942221460102,47.0,126.0,27,87,25
Nicaragua,NIC,18.4,23.7,5.3,28.8,0.53,6823613.0,2024.0,6916140.0,Nicaragua,Central Latin America,Latin America and the Caribbean,True,Nicaragua,6823613.0,True,13.505355796000401,24.3410055906245,18.923180693312453,18.6082789350422,30.082635319913,24.3454571274776,5.422276434165148,5.102923139041799,5.741629729288498,52.0,101.0,30,70,30
Lebanon,LBN,26.7,32.0,5.3,19.9,0.53,5773493.0,2024.0,5805962.0,Lebanon,Middle East and north Africa,"Central Asia, Middle East and north Africa",True,Lebanon,5773493.0,True,22.3604193334504,33.8506344106657,28.10552687205805,28.3754229937304,38.4367193297194,33.4060711617249,5.300544289666853,6.015003660280001,4.586084919053704,52.0,158.0,30,109,33
Turkmenistan,TKM,13.4,18.6,5.2,38.8,0.52,7364438.0,2024.0,7494498.0,Turkmenistan,Central Asia,"Central Asia, Middle East and north Africa",True,Turkmenistan,7364438.0,True,11.3202640445125,16.2510828411815,13.785673442847,16.4929764961674,21.8442436273365,19.16861006175195,5.3829366189049495,5.172712451654901,5.593160786155,55.0,67.0,32,52,31
Azerbaijan,AZE,14.8,19.9,5.1,34.5,0.51,10153958.0,2024.0,10202830.0,Azerbaijan,Central Asia,"Central Asia, Middle East and north Africa",True,Azerbaijan,10153958.0,True,11.44286298679,18.8782430174862,15.1605530021381,16.4698517996196,24.551713946501998,20.510782873060798,5.350229870922698,5.0269888128296,5.673470929015799,58.0,78.0,33,57,32
Paraguay,PRY,15.2,20.3,5.1,33.6,0.51,6844146.0,2024.0,6929153.0,Paraguay,Southern Latin America,Latin America and the Caribbean,True,Paraguay,6844146.0,True,12.7451469788384,18.933671443798,15.839409211318202,17.7996610710569,24.391424300317897,21.0955426856874,5.2561334743691965,5.054514092218499,5.457752856519896,58.0,83.0,33,61,34
Mexico,MEX,23.8,28.9,5.1,21.4,0.51,129739759.0,2024.0,130861007.0,Mexico,Central Latin America,Latin America and the Caribbean,True,Mexico,129739759.0,True,19.7647016950513,28.857344334782898,24.311023014917097,25.1199922251672,33.981735269358,29.550863747262596,5.239840732345499,5.355290530115898,5.1243909345751,58.0,146.0,33,102,35
Kyrgyzstan,KGZ,11.7,16.6,4.9,41.9,0.49,7099750.0,2024.0,7221868.0,Kyrgyzstan,Central Asia,"Central Asia, Middle East and north Africa",True,Kyrgyzstan,7099750.0,True,9.92215895211185,14.1804812659903,12.051320109051076,14.6014177694166,19.473326383157698,17.03737207628715,4.986051967236072,4.679258817304749,5.292845117167397,65.0,64.0,36,50,38
Argentina,ARG,23.4,28.3,4.9,20.9,0.49,45538401.0,2024.0,45696159.0,Argentina,Southern Latin America,Latin America and the Caribbean,True,Argentina,45538401.0,True,22.7666508213835,25.601968206478197,24.18430951393085,28.2312710290502,30.1351528063988,29.1832119177245,4.99890240379365,5.464620207666698,4.533184599920602,65.0,148.0,36,104,36
Uzbekistan,UZB,11.8,16.6,4.8,40.7,0.48,35652307.0,2024.0,36361859.0,Uzbekistan,Central Asia,"Central Asia, Middle East and north Africa",True,Uzbekistan,35652307.0,True,9.83715009171166,14.520273318222298,12.178711704966979,14.368900119468,19.8627219466556,17.1158110330618,4.9370993280948205,4.53175002775634,5.342448628433303,67.0,65.0,38,51,40
Brazil,BRA,17.3,22.1,4.8,27.7,0.48,211140729.0,2024.0,211998573.0,Brazil,Southern Latin America,Latin America and the Caribbean,True,Brazil,211140729.0,True,14.2266908993845,21.4636636731307,17.845177286257602,19.2358597359804,26.435071841732398,22.8354657888564,4.990288502598798,5.009168836595901,4.971408168601698,67.0,106.0,38,73,37
Kazakhstan,KAZ,16.3,21.0,4.7,28.8,0.47,20330104.0,2024.0,20592571.0,Kazakhstan,Central Asia,"Central Asia, Middle East and north Africa",True,Kazakhstan,20330104.0,True,14.5146681488458,18.8339790440829,16.674323596464347,19.5682181225138,23.6484466554447,21.60833238897925,4.934008792514902,5.053549973668002,4.814467611361803,71.0,101.0,40,70,41
Cuba,CUB,19.9,24.6,4.7,23.6,0.47,11019931.0,2024.0,10979783.0,Cuba,The Caribbean,Latin America and the Caribbean,True,Cuba,11019931.0,True,14.373982184804602,27.0021549082772,20.6880685465409,19.6740505627936,31.5819717599435,25.628011161368548,4.939942614827647,5.300068377988998,4.579816851666301,71.0,126.0,40,87,39
Hungary,HUN,21.7,26.4,4.7,21.7,0.47,9592186.0,2024.0,9562065.0,Hungary,Central Europe,Central and eastern Europe,True,Hungary,9592186.0,True,22.8307025867175,22.1644828451817,22.4975927159496,29.1237593461531,25.636223899731903,27.3799916229425,4.882398906992901,6.293056759435601,3.471741054550204,71.0,144.0,40,100,43
Chile,CHL,23.3,28.0,4.7,20.2,0.47,19658835.0,2024.0,19764771.0,Chile,Southern Latin America,Latin America and the Caribbean,True,Chile,19658835.0,True,20.6294896959936,27.464091006365297,24.046790351179446,25.7334656169527,32.126225046767296,28.929845331859998,4.883054980680551,5.103975920959101,4.662134040401998,71.0,154.0,40,106,42
Thailand,THA,5.4,10.0,4.6,85.2,0.46,71702435.0,2024.0,71668011.0,Thailand,Southeast Asia,East and southeast Asia,True,Thailand,71702435.0,True,3.27201054370681,7.74864560352523,5.510328073616019,7.2612691401244005,13.2535737560762,10.2574214481003,4.747093374484281,3.9892585964175904,5.504928152550971,77.0,7.0,44,4,46
Netherlands,NLD,15.8,20.4,4.6,29.1,0.46,17877117.0,2024.0,17993485.0,The Netherlands,Northwestern Europe,High-income western,True,Netherlands,17877117.0,True,15.758790124462898,17.1207743310687,16.439782227765797,21.5737659919611,20.856616348664,21.21519117031255,4.775408942546754,5.814975867498202,3.735842017595303,77.0,99.0,44,69,44
Tajikistan,TJK,9.7,14.2,4.5,46.4,0.45,10389799.0,2024.0,10590927.0,Tajikistan,Central Asia,"Central Asia, Middle East and north Africa",True,Tajikistan,10389799.0,True,7.98039853259374,12.2939577791128,10.13717815585327,12.0452541522513,17.4065022042112,14.72587817823125,4.58870002237798,4.06485561965756,5.112544425098401,81.0,57.0,46,46,50
Bolivia,BOL,15.7,20.2,4.5,28.7,0.45,12244159.0,2024.0,12413315.0,Bolivia,Andean Latin America,Latin America and the Caribbean,True,Bolivia,12244159.0,True,10.7207087110584,21.4137805798847,16.06724464547155,15.0710542822057,26.5583154265935,20.8146848543996,4.747440208928051,4.350345571147301,5.1445348467087975,81.0,103.0,46,72,45
Portugal,PRT,16.3,20.8,4.5,27.6,0.45,10578174.0,2024.0,10694681.0,Portugal,Southwestern Europe,High-income western,True,Portugal,10578174.0,True,15.5417442911233,18.282089816250398,16.91191705368685,21.1152759164386,22.1151428580555,21.61520938724705,4.703292333560199,5.573531625315299,3.833053041805101,81.0,107.0,46,74,48
Colombia,COL,17.8,22.3,4.5,25.3,0.45,52321152.0,2024.0,52886363.0,Colombia,Central Latin America,Latin America and the Caribbean,True,Colombia,52321152.0,True,13.586051590269,22.9790352508316,18.2825434205503,18.281183849925302,27.701350305609303,22.991267077767304,4.7087236572170035,4.695132259656303,4.722315054777702,81.0,117.0,46,81,47
Norway,NOR,18.6,23.1,4.5,24.2,0.45,5519601.0,2024.0,5572279.0,Norway,Northwestern Europe,High-income western,True,Norway,5519601.0,True,18.8305739513893,19.8006633843264,19.315618667857848,24.4887625895552,23.478070203541197,23.9834163965482,4.667797728690353,5.6581886381659,3.6774068192147986,81.0,123.0,46,84,49
Ecuador,ECU,15.6,19.9,4.3,27.6,0.43,17980083.0,2024.0,18135478.0,Ecuador,Andean Latin America,Latin America and the Caribbean,True,Ecuador,17980083.0,True,11.2963583259965,20.9721146732084,16.13423649960245,15.445927357647099,25.643237591944303,20.5445824747957,4.410345975193248,4.149569031650598,4.671122918735904,86.0,107.0,51,74,52
Romania,ROU,18.2,22.5,4.3,23.6,0.43,19061062.0,2024.0,19051804.0,Romania,Central Europe,Central and eastern Europe,True,Romania,19061062.0,True,18.3678836620631,19.3421394090629,18.855011535563,24.217742764000498,22.5474494286374,23.38259609631895,4.5275845607559475,5.8498591019373976,3.205310019574501,86.0,126.0,51,87,51
Bulgaria,BGR,20.8,25.0,4.2,20.2,0.42,6446596.0,2024.0,6441421.0,Bulgaria,Central Europe,Central and eastern Europe,True,Bulgaria,6446596.0,True,20.76042057412,22.2097582520554,21.4850894130877,26.3721859363714,25.2749569317252,25.8235714340483,4.338482020960601,5.6117653622514005,3.0651986796697983,91.0,154.0,53,106,53
Greece,GRC,20.8,24.9,4.1,19.7,0.41,10407351.0,2024.0,10405134.0,Greece,Southwestern Europe,High-income western,True,Greece,10407351.0,True,19.5450487419743,23.5167044354552,21.530876588714747,25.0421452186512,26.4353284795816,25.7387368491164,4.207860260401652,5.4970964766769015,2.9186240441263998,95.0,159.0,54,110,54
Peru,PER,15.7,19.7,4.0,25.5,0.4,33845617.0,2024.0,34217848.0,Peru,Andean Latin America,Latin America and the Caribbean,True,Peru,33845617.0,True,11.7491073458951,20.7981507458722,16.27362904588365,15.766924287323999,25.1425484102458,20.4547363487849,4.18110730290125,4.017816941428899,4.344397664373602,97.0,115.0,55,79,55
Austria,AUT,16.1,20.1,4.0,24.8,0.4,9131761.0,2024.0,9177982.0,Austria,Northwestern Europe,High-income western,True,Austria,9131761.0,True,17.6010988764916,15.913516363339001,16.757307619915302,22.648338342545,19.0987220955795,20.87353021906225,4.116222599146948,5.047239466053398,3.185205732240499,97.0,121.0,55,83,57
Mauritania,MRT,8.8,12.7,3.9,44.3,0.39,5022441.0,2024.0,5169395.0,Mauritania,West Africa,Sub-Saharan Africa,True,Mauritania,5022441.0,True,4.15730613493875,13.7832755376074,8.970290836273076,6.917277171941601,19.2563586005359,13.086817886238752,4.116527049965676,2.7599710370028507,5.4730830629285006,100.0,60.0,57,49,56
Sweden,SWE,16.7,20.6,3.9,23.4,0.39,10536632.0,2024.0,10569709.0,Sweden,Northwestern Europe,High-income western,True,Sweden,10536632.0,True,18.604046396580102,16.0537703852587,17.328908390919402,23.8850217147386,18.8322490563625,21.35863538555055,4.029726994631147,5.280975318158497,2.778478671103798,100.0,131.0,57,91,59
Germany,DEU,18.4,22.3,3.9,21.2,0.39,83287273.0,2024.0,83516593.0,Germany,Northwestern Europe,High-income western,True,Germany,83287273.0,True,19.935128190851202,18.2627374912052,19.0989328410282,25.039137753508,21.3301855031888,23.1846616283484,4.0857287873202,5.104009562656799,3.0674480119836005,100.0,147.0,57,103,58
Serbia,SRB,17.7,21.5,3.8,21.5,0.38,6623183.0,2024.0,6586476.0,Serbia,Central Europe,Central and eastern Europe,True,Serbia,6623183.0,True,16.9648554755977,19.6606055561627,18.3127305158802,21.8618144268841,22.7939253362546,22.32786988156935,4.015139365689148,4.896958951286397,3.133319780091899,103.0,145.0,60,101,60
Venezuela,VEN,21.8,25.6,3.8,17.4,0.38,28300854.0,2024.0,28405543.0,Venezuela,Central Latin America,Latin America and the Caribbean,True,Venezuela (Bolivarian Republic of),28300854.0,True,18.9173492656278,26.2188030219138,22.5680761437708,23.2073678961581,29.752563298622796,26.479965597390446,3.911889453619647,4.290018630530302,3.533760276708996,103.0,171.0,60,115,61
Cote d'Ivoire,CIV,6.6,10.3,3.7,56.1,0.37,31165654.0,2024.0,31934230.0,Cote d'Ivoire,West Africa,Sub-Saharan Africa,True,Côte d'Ivoire,31165654.0,True,3.4851844828506597,10.8861451660551,7.185664824452879,6.06785858756467,15.841969149618802,10.954913868591735,3.7692490441388555,2.5826741047140103,4.955823983563702,106.0,38.0,62,32,69
Cameroon,CMR,7.7,11.4,3.7,48.1,0.37,28372687.0,2024.0,29123744.0,Cameroon,West Africa,Sub-Saharan Africa,True,Cameroon,28372687.0,True,3.8244338986231003,11.984445295565301,7.904439597094201,6.38747969103754,17.1677106804459,11.77759518574172,3.8731555886475197,2.5630457924144396,5.183265384880599,106.0,50.0,62,42,62
Denmark,DNK,16.0,19.7,3.7,23.1,0.37,5946952.0,2024.0,5976992.0,Denmark,Northwestern Europe,High-income western,True,Denmark,5946952.0,True,18.062238955554697,15.229786887057701,16.6460129213062,23.1470190353662,17.7089442479312,20.4279816416487,3.781968720342501,5.084780079811502,2.479157360873499,106.0,134.0,62,93,68
France,FRA,17.9,21.6,3.7,20.7,0.37,68372286.0,2024.0,68551653.0,France,Southwestern Europe,High-income western,True,France,68372286.0,True,18.0482923259808,19.1662073917527,18.60724985886675,22.8624168719371,21.9681294800126,22.41527317597485,3.8080233171080984,4.8141245459563,2.8019220882599,106.0,149.0,62,105,67
Finland,FIN,18.5,22.2,3.7,20.0,0.37,5583911.0,2024.0,5619911.0,Finland,Northwestern Europe,High-income western,True,Finland,5583911.0,True,19.8104640921982,18.664961198378897,19.237712645288546,24.6221039279853,21.4984690983447,23.060286513165,3.8225738678764536,4.811639835787101,2.8335078999658023,106.0,157.0,62,108,64
Poland,POL,19.4,23.1,3.7,19.1,0.37,36687353.0,2024.0,36559233.0,Poland,Central Europe,Central and eastern Europe,True,Poland,36687353.0,True,19.4592882874746,20.738864922637,20.0990766050558,24.633845294245198,23.220093317888903,23.92696930606705,3.827892701011251,5.174557006770598,2.481228395251904,106.0,163.0,62,113,63
Switzerland,CHE,15.9,19.5,3.6,22.6,0.36,8888822.0,2024.0,9005582.0,Switzerland,Northwestern Europe,High-income western,True,Switzerland,8888822.0,True,18.038096725352602,14.9330086411998,16.4855526832762,22.9975001634003,17.5930777539024,20.295288958651348,3.8097362753751476,4.959403438047698,2.6600691127025993,114.0,135.0,68,94,66
Belarus,BLR,20.9,24.5,3.6,17.2,0.36,9178298.0,2024.0,9132629.0,Belarus,Eastern Europe,Central and eastern Europe,True,Belarus,9178298.0,True,17.7413001413542,24.8784538578673,21.30987699961075,22.9123275136731,27.336911803228496,25.124619658450797,3.8147426588400464,5.171027372318903,2.4584579453611966,114.0,172.0,68,116,65
Nigeria,NGA,5.4,8.9,3.5,64.8,0.35,227882945.0,2024.0,232679478.0,Nigeria,West Africa,Sub-Saharan Africa,True,Nigeria,227882945.0,True,2.61797845076755,8.730028580919031,5.674003515843291,4.82237797166677,13.648759966832898,9.235568969249833,3.5615654534065424,2.2043995208992198,4.918731385913867,124.0,24.0,70,19,70
Ghana,GHA,7.4,10.9,3.5,47.3,0.35,33787914.0,2024.0,34427414.0,Ghana,West Africa,Sub-Saharan Africa,True,Ghana,33787914.0,True,2.80414468173814,12.2225862331885,7.51336545746332,4.74961768784293,17.3379611505733,11.043789419208114,3.530423961744794,1.9454730061047898,5.1153749173848,124.0,54.0,70,44,73
Spain,ESP,20.3,23.8,3.5,17.2,0.35,48352528.0,2024.0,48848840.0,Spain,Southwestern Europe,High-income western,True,Spain,48352528.0,True,20.692905668290702,21.4790586775958,21.08598217294325,25.4868604860036,23.7794035829473,24.63313203447545,3.5471498615322012,4.793954817712898,2.3003449053515013,124.0,172.0,70,116,72
Czech Republic,CZE,22.6,26.0,3.4,15.0,0.34,10864042.0,2024.0,10905028.0,Czechia,Central Europe,Central and eastern Europe,True,Czechia,10864042.0,True,22.6117678367837,24.2237172840626,23.41774256042315,27.3212657911343,26.499117508716502,26.9101916499254,3.4924490895022515,4.709497954350603,2.2754002246539002,127.0,180.0,73,120,74
Tanzania,TZA,5.1,8.4,3.3,64.7,0.33,66617606.0,2024.0,68560157.0,Tanzania,East Africa,Sub-Saharan Africa,True,United Republic of Tanzania,66617606.0,True,2.29566820072607,8.26957392894033,5.2826210648332,4.1562227962926395,13.217584978018301,8.68690388715547,3.40428282232227,1.8605545955665694,4.948011049077971,130.0,25.0,74,20,77
Mali,MLI,5.3,8.6,3.3,62.3,0.33,23769127.0,2024.0,24478595.0,Mali,West Africa,Sub-Saharan Africa,True,Mali,23769127.0,True,2.54238840983038,8.18535970950205,5.363874059666215,4.758568363800119,12.9201662105733,8.83936728718671,3.475493227520494,2.216179953969739,4.734806501071249,130.0,27.0,74,22,75
Pakistan,PAK,5.3,8.6,3.3,62.3,0.33,247504495.0,2024.0,251269164.0,Pakistan,South Asia,South Asia,True,Pakistan,247504495.0,True,3.56137983364141,7.6613792041417605,5.611379518891585,6.26478238215907,11.7545149453755,9.009648663767285,3.3982691448757,2.70340254851766,4.093135741233739,130.0,27.0,74,22,78
Slovakia,SVK,17.2,20.5,3.3,19.2,0.33,5426740.0,2024.0,5422069.0,Slovakia,Central Europe,Central and eastern Europe,True,Slovakia,5426740.0,True,17.312944838229498,18.3023734425427,17.8076591403861,21.7533457889026,20.801355957916602,21.277350873409603,3.4696917330235024,4.4404009506731015,2.4989825153739034,130.0,161.0,74,112,76
