country,iso,Region,Superregion,un_name,is_un_member,exclusion_note,pop_2023,pop_ge_5m,in_main_ranking,prev_men_2004,lo_men_2004,hi_men_2004,prev_women_2004,lo_women_2004,hi_women_2004,prev_both_2004,prev_men_2014,lo_men_2014,hi_men_2014,prev_women_2014,lo_women_2014,hi_women_2014,prev_both_2014,abs_change_pp_both,rel_change_pct_both,pp_per_year_both,abs_change_pp_men,rel_change_pct_men,pp_per_year_men,abs_change_pp_women,rel_change_pct_women,pp_per_year_women,rank_abs_all200,rank_abs_un_all,rank_abs_main,rank_rel_main
Samoa,WSM,Polynesia and Micronesia,Pacific island nations,Samoa,True,,216663.0000,False,False,17.5595,12.4345,23.0842,20.9639,15.2293,27.1225,19.2617,22.6574,13.0834,33.9241,26.5711,16.1927,38.6405,24.6142,5.3525,27.7884,0.5353,5.0979,29.0321,0.5098,5.6072,26.7467,0.5607,2,1.0000,,
Saint Lucia,LCA,The Caribbean,Latin America and the Caribbean,Saint Lucia,True,,179285.0000,False,False,8.5095,5.0280,13.0548,10.3738,6.4569,15.2215,9.4417,13.7422,6.1290,24.0910,15.1406,7.1998,25.8826,14.4414,4.9997,52.9539,0.5000,5.2327,61.4923,0.5233,4.7668,45.9499,0.4767,3,2.0000,,
Micronesia (Federated States of),FSM,Polynesia and Micronesia,Pacific island nations,Micronesia (Federated States of),True,,112630.0000,False,False,15.9364,11.7504,21.0785,18.6109,13.9501,23.9628,17.2737,20.5148,12.1851,30.6811,23.3739,14.5947,33.9741,21.9443,4.6707,27.0391,0.4671,4.5783,28.7287,0.4578,4.7630,25.5923,0.4763,5,3.0000,,
Tonga,TON,Polynesia and Micronesia,Pacific island nations,Tonga,True,,104597.0000,False,False,17.9203,12.9080,23.4267,21.2054,15.7170,27.0725,19.5628,21.9110,12.8876,32.5921,26.3599,16.4308,37.6199,24.1355,4.5726,23.3741,0.4573,3.9907,22.2692,0.3991,5.1546,24.3078,0.5155,6,4.0000,,
