member_state,date_of_admission,source_url,access_date,channel
Democratic People's Republic of Korea,17 September 1991,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Democratic Republic of the Congo,20 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Denmark,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Djibouti,20 September 1977,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Dominica,18 December 1978,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Dominican Republic,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Ecuador,21 December 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Egypt,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
El Salvador,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Equatorial Guinea,12 November 1968,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Eritrea,28 May 1993,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Estonia,17 September 1991,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Eswatini,24 September 1968,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Ethiopia,13 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Fiji,13 October 1970,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Finland,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
France,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Gabon,20 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Gambia (Republic of The),21 September 1965,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Georgia,31 July 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Germany,18 September 1973,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Ghana,8 March 1957,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Greece,25 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Grenada,17 September 1974,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Guatemala,21 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Guinea,12 December 1958,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Guinea-Bissau,17 September 1974,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Guyana,20 September 1966,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Haiti,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Honduras,17 December 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Hungary,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Iceland,19 November 1946,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
India,30 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Indonesia,28 September 1950,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
