Entity,Code,y2006,y2016,abs_change_pp,rel_change_pct,annual_pp_per_year,pop_2023,pop_last_year,pop_last,ncd_country_2025,Region,Superregion,un_member,un_name,pop_for_filter,pop_ge_5m,ncd_men_2006,ncd_women_2006,ncd_meanMW_2006,ncd_men_2016,ncd_women_2016,ncd_meanMW_2016,ncd_meanMW_abs_change_pp,ncd_men_abs_change_pp,ncd_women_abs_change_pp,rank_abs_all,rank_rel_all,rank_abs,rank_rel,rank_ncd_meanMW
Vietnam,VNM,1.0,2.1,1.1,110.0,0.11,100352192.0,2024.0,100987686.0,Viet Nam,Southeast Asia,East and southeast Asia,True,Vietnam,100352192.0,True,0.66706859659655,1.3943530596136,1.030710828105075,1.66608167929919,2.7065382035544,2.186309941426795,1.1555991133217198,0.9990130827026399,1.3121851439408,190.0,1.0,121,1,122
Laos,LAO,2.7,5.3,2.6,96.3,0.26,7664993.0,2024.0,7769819.0,Laos,Southeast Asia,East and southeast Asia,True,Lao People's Democratic Republic,7664993.0,True,1.6031581179418002,3.83414593305516,2.7186520254984803,3.9046669706455104,7.0224179484466,5.463542459546055,2.7448904340475746,2.3015088527037104,3.18827201539144,160.0,3.0,97,2,97
Bangladesh,BGD,1.9,3.6,1.7,89.5,0.17,171466990.0,2024.0,173562364.0,Bangladesh,South Asia,South Asia,True,Bangladesh,171466990.0,True,1.14404303689663,2.95074633263513,2.04739468476588,2.37082902390262,5.18913161380624,3.77998031885443,1.73258563408855,1.22678598700599,2.23838528117111,185.0,6.0,116,3,117
Thailand,THA,5.4,10.0,4.6,85.2,0.46,71702435.0,2024.0,71668011.0,Thailand,Southeast Asia,East and southeast Asia,True,Thailand,71702435.0,True,3.27201054370681,7.74864560352523,5.510328073616019,7.2612691401244005,13.2535737560762,10.2574214481003,4.747093374484281,3.9892585964175904,5.504928152550971,77.0,7.0,44,4,46
China,CHN,3.4,6.2,2.8,82.4,0.28,1410710000.0,2024.0,1408975000.0,China,East Asia,East and southeast Asia,True,China,1410710000.0,True,2.97980599774114,4.2446921104005195,3.61224905407083,6.11174923595005,6.83133795814156,6.471543597045805,2.8592945429749754,3.13194323820891,2.586645847741041,151.0,8.0,91,5,94
Indonesia,IDN,3.8,6.9,3.1,81.6,0.31,281190067.0,2024.0,283487931.0,Indonesia,Southeast Asia,East and southeast Asia,True,Indonesia,281190067.0,True,2.3323035294652303,5.62918796442056,3.9807457469428953,4.97848357714258,9.27857960273227,7.128531589937425,3.1477858429945296,2.6461800476773494,3.6493916383117098,139.0,9.0,81,6,85
Myanmar,MMR,3.2,5.8,2.6,81.2,0.26,54133798.0,2024.0,54500091.0,Myanmar,Southeast Asia,East and southeast Asia,True,Myanmar,54133798.0,True,2.01729383602698,4.45530618664358,3.2363000113352802,4.21025860655707,7.613184787914889,5.911721697235979,2.675421685900699,2.19296477053009,3.1578786012713094,160.0,10.0,97,7,98
Burkina Faso,BFA,3.1,5.6,2.5,80.6,0.25,23025776.0,2024.0,23548781.0,Burkina Faso,West Africa,Sub-Saharan Africa,True,Burkina Faso,23025776.0,True,1.3344348157499302,4.7858053375750105,3.0601200766624705,2.70321348846986,8.48866494894571,5.595939218707785,2.5358191420453142,1.3687786727199298,3.702859611370699,164.0,11.0,99,8,101
