Entity,Code,y2006,y2016,abs_change_pp,rel_change_pct,annual_pp_per_year,pop_2023,pop_last_year,pop_last,ncd_country_2025,Region,Superregion,un_member,un_name,pop_for_filter,pop_ge_5m,ncd_men_2006,ncd_women_2006,ncd_meanMW_2006,ncd_men_2016,ncd_women_2016,ncd_meanMW_2016,rank_abs_all,rank_rel_all,rank_abs_unfiltered
Tuvalu,TUV,43.9,51.6,7.700000000000003,17.539863325740335,0.7700000000000002,9816.0,2024.0,9646.0,Tuvalu,Polynesia and Micronesia,Pacific island nations,True,Tuvalu,9816.0,False,39.336736586323404,51.49136528317379,45.4140509347486,48.466540173953796,57.850594830378,53.158567502165894,3.0,170.0,2
Micronesia (country),FSM,38.6,45.8,7.199999999999996,18.65284974093262,0.7199999999999995,112630.0,2024.0,113160.0,Federated States of Micronesia,Polynesia and Micronesia,Pacific island nations,True,Micronesia (Federated States of),112630.0,False,33.102476194542405,46.7528174434122,39.9276468189773,41.477531974266,53.1737334683719,47.325632721318954,5.0,167.0,4
