country,iso,Region,Superregion,un_name,is_un_member,exclusion_note,pop_2023,pop_ge_5m,in_main_ranking,prev_men_2004,lo_men_2004,hi_men_2004,prev_women_2004,lo_women_2004,hi_women_2004,prev_both_2004,prev_men_2014,lo_men_2014,hi_men_2014,prev_women_2014,lo_women_2014,hi_women_2014,prev_both_2014,abs_change_pp_both,rel_change_pct_both,pp_per_year_both,abs_change_pp_men,rel_change_pct_men,pp_per_year_men,abs_change_pp_women,rel_change_pct_women,pp_per_year_women,rank_abs_all200,rank_abs_un_all,rank_abs_main,rank_rel_main
Sao Tome and Principe,STP,West Africa,Sub-Saharan Africa,Sao Tome and Principe,True,,230871.000000,False,False,7.583299,4.675401,11.184214,6.901976,4.346144,10.192217,7.242638,8.345345,4.129847,14.214891,7.784740,3.948881,13.165985,8.065042,0.822405,11.355042,0.082240,0.762046,10.049002,0.076205,0.882763,12.790008,0.088276,147,139.000000,,
Belarus,BLR,Eastern Europe,Central and eastern Europe,Belarus,True,,9178298.000000,True,True,6.823822,4.083111,10.329527,7.116304,4.200198,10.958030,6.970063,8.012065,3.719995,14.272979,7.547588,3.521828,13.330910,7.779827,0.809764,11.617740,0.080976,1.188243,17.413164,0.118824,0.431284,6.060510,0.043128,148,140.000000,89.000000,91.000000
India,IND,South Asia,South Asia,India,True,,1438069596.000000,True,True,8.037012,5.872879,10.648593,7.723624,5.639875,10.300258,7.880318,9.053893,5.191354,14.173349,8.325916,4.762583,12.759815,8.689904,0.809587,10.273529,0.080959,1.016881,12.652477,0.101688,0.602292,7.798054,0.060229,149,141.000000,90.000000,96.000000
Bahrain,BHR,Middle East and north Africa,"Central Asia, Middle East and north Africa",Bahrain,True,,1577059.000000,False,False,10.994232,8.213031,14.455523,10.100884,7.497848,13.422669,10.547558,12.006818,7.015261,18.475620,10.641664,6.070175,16.741878,11.324241,0.776683,7.363631,0.077668,1.012586,9.210157,0.101259,0.540781,5.353794,0.054078,150,142.000000,,
Philippines,PHL,Southeast Asia,East and southeast Asia,Philippines,True,,114891199.000000,True,True,6.095133,4.272633,8.417354,6.693738,4.773498,9.063266,6.394436,7.050884,3.886980,11.153555,7.272278,4.155087,11.339686,7.161581,0.767145,11.997074,0.076715,0.955751,15.680557,0.095575,0.578540,8.642997,0.057854,151,143.000000,91.000000,88.000000
Zimbabwe,ZWE,East Africa,Sub-Saharan Africa,Zimbabwe,True,,16340822.000000,True,True,5.649400,3.384291,8.499560,6.980730,4.426578,10.205866,6.315065,6.513774,3.133994,11.573050,7.560671,3.908000,12.721927,7.037222,0.722157,11.435471,0.072216,0.864374,15.300281,0.086437,0.579941,8.307738,0.057994,152,144.000000,92.000000,93.000000
Portugal,PRT,Southwestern Europe,High-income western,Portugal,True,,10578174.000000,True,True,7.085705,4.694932,10.098288,5.208925,3.426170,7.498586,6.147315,8.429186,4.326924,13.956853,5.286609,2.721107,9.209153,6.857898,0.710583,11.559239,0.071058,1.343481,18.960439,0.134348,0.077685,1.491379,0.007768,153,145.000000,93.000000,92.000000
Ukraine,UKR,Eastern Europe,Central and eastern Europe,Ukraine,True,,37732836.000000,True,True,6.350064,3.617049,9.939805,6.871375,4.051876,10.533878,6.610720,7.418914,3.340747,13.252352,7.174890,3.325911,12.974844,7.296902,0.686182,10.379839,0.068618,1.068849,16.832101,0.106885,0.303515,4.417091,0.030351,154,146.000000,94.000000,95.000000
South Korea,KOR,East Asia,East and southeast Asia,Republic of Korea,True,,51712619.000000,True,True,8.141671,5.748841,11.046338,6.524773,4.578585,8.852239,7.333222,9.304251,5.465126,14.263675,6.726209,3.856737,10.449296,8.015230,0.682008,9.300244,0.068201,1.162580,14.279376,0.116258,0.201435,3.087240,0.020144,155,147.000000,95.000000,97.000000
Serbia,SRB,Central Europe,Central and eastern Europe,Serbia,True,,6623183.000000,True,True,6.405198,4.138221,9.242478,5.975361,3.865327,8.632124,6.190279,7.270337,3.545829,12.476706,6.474200,3.209369,11.079982,6.872268,0.681989,11.017091,0.068199,0.865138,13.506816,0.086514,0.498839,8.348268,0.049884,156,148.000000,96.000000,94.000000
Macedonia (TFYR),MKD,Central Europe,Central and eastern Europe,North Macedonia,True,,1827816.000000,False,False,6.617815,4.186214,9.684335,6.469029,4.082974,9.316811,6.543422,7.599719,3.799894,12.916833,6.789476,3.399225,11.791766,7.194598,0.651176,9.951611,0.065118,0.981904,14.837287,0.098190,0.320448,4.953565,0.032045,157,149.000000,,
Russian Federation,RUS,Eastern Europe,Central and eastern Europe,Russian Federation,True,,143826130.000000,True,True,6.455160,3.755534,9.833560,7.628978,4.588586,11.579500,7.042069,7.415988,3.424971,13.072988,7.951576,3.683051,13.766102,7.683782,0.641713,9.112560,0.064171,0.960827,14.884642,0.096083,0.322598,4.228587,0.032260,158,150.000000,97.000000,98.000000
Latvia,LVA,Eastern Europe,Central and eastern Europe,Latvia,True,,1883710.000000,False,False,6.744570,4.082279,10.094212,6.418072,3.817307,9.744982,6.581321,7.831526,3.595755,13.707353,6.598207,2.936173,12.129197,7.214867,0.633546,9.626418,0.063355,1.086956,16.116019,0.108696,0.180135,2.806682,0.018013,159,151.000000,,
Taiwan,TWN,East Asia,East and southeast Asia,Taiwan,False,not UN member,,False,False,6.835879,4.551634,9.720358,5.935583,3.935521,8.428612,6.385731,8.021201,3.791317,13.912595,5.979895,2.811291,10.549940,7.000548,0.614817,9.627976,0.061482,1.185322,17.339710,0.118532,0.044312,0.746544,0.004431,160,,,
