country,iso,Region,Superregion,un_name,is_un_member,exclusion_note,pop_2023,pop_ge_5m,in_main_ranking,prev_men_2004,lo_men_2004,hi_men_2004,prev_women_2004,lo_women_2004,hi_women_2004,prev_both_2004,prev_men_2014,lo_men_2014,hi_men_2014,prev_women_2014,lo_women_2014,hi_women_2014,prev_both_2014,abs_change_pp_both,rel_change_pct_both,pp_per_year_both,abs_change_pp_men,rel_change_pct_men,pp_per_year_men,abs_change_pp_women,rel_change_pct_women,pp_per_year_women,rank_abs_all200,rank_abs_un_all,rank_abs_main,rank_rel_main
Brunei Darussalam,BRN,Southeast Asia,East and southeast Asia,Brunei,True,,458949.000000,False,False,8.944608,5.838765,12.808361,10.158709,6.793754,14.535652,9.551659,9.208075,4.652456,15.379292,9.676519,5.018999,15.931857,9.442297,-0.109362,-1.144951,-0.010936,0.263466,2.945530,0.026347,-0.482190,-4.746565,-0.048219,191,180.000000,,
Netherlands,NLD,Northwestern Europe,High-income western,Netherlands,True,,17877117.000000,True,True,5.165186,3.720543,6.934648,3.797424,2.698644,5.126203,4.481305,5.171757,2.822764,8.364986,3.531421,1.918668,5.820745,4.351589,-0.129716,-2.894600,-0.012972,0.006571,0.127217,0.000657,-0.266003,-7.004819,-0.026600,192,181.000000,118.000000,118.000000
Norway,NOR,Northwestern Europe,High-income western,Norway,True,,5519601.000000,True,True,6.238205,4.345390,8.502199,4.183025,2.872467,5.802523,5.210615,6.225741,3.337993,10.131314,3.878207,2.020377,6.499881,5.051974,-0.158641,-3.044579,-0.015864,-0.012464,-0.199802,-0.001246,-0.304818,-7.287034,-0.030482,193,182.000000,119.000000,119.000000
Andorra,AND,Southwestern Europe,High-income western,Andorra,True,,80856.000000,False,False,7.951594,5.528809,10.948635,6.276158,4.273155,8.730162,7.113876,8.085620,4.252345,13.511544,5.818476,2.920886,9.912963,6.952048,-0.161828,-2.274826,-0.016183,0.134026,1.685522,0.013403,-0.457683,-7.292399,-0.045768,194,183.000000,,
Finland,FIN,Northwestern Europe,High-income western,Finland,True,,5583911.000000,True,True,6.668209,4.908809,8.714232,4.509969,3.224406,5.993401,5.589089,6.403542,3.600405,10.304499,4.316099,2.335005,7.132608,5.359821,-0.229269,-4.102073,-0.022927,-0.264666,-3.969078,-0.026467,-0.193871,-4.298713,-0.019387,195,184.000000,120.000000,121.000000
Denmark,DNK,Northwestern Europe,High-income western,Denmark,True,,5946952.000000,True,True,5.513730,3.627803,7.774042,3.614988,2.363843,5.207956,4.564359,5.371346,2.687468,8.900044,3.294699,1.690975,5.637210,4.333022,-0.231337,-5.068336,-0.023134,-0.142384,-2.582360,-0.014238,-0.320290,-8.860049,-0.032029,196,185.000000,121.000000,122.000000
Singapore,SGP,East Asia,East and southeast Asia,Singapore,True,,5917648.000000,True,True,9.299840,6.934398,12.213976,7.237596,5.309996,9.587475,8.268718,9.364305,5.490628,14.092469,6.542572,3.714371,10.301903,7.953438,-0.315280,-3.812920,-0.031528,0.064465,0.693187,0.006447,-0.695024,-9.602974,-0.069502,197,186.000000,122.000000,120.000000
Belgium,BEL,Northwestern Europe,High-income western,Belgium,True,,11779946.000000,True,True,5.772286,3.997952,7.827532,4.053051,2.732312,5.576816,4.912669,5.668122,3.010595,9.186518,3.464104,1.817201,5.831180,4.566113,-0.346555,-7.054322,-0.034656,-0.104164,-1.804548,-0.010416,-0.588947,-14.530961,-0.058895,198,187.000000,123.000000,123.000000
Iceland,ISL,Northwestern Europe,High-income western,Iceland,True,,385663.000000,False,False,7.912909,5.164382,11.246570,4.652373,2.919433,6.811514,6.282641,7.631688,3.781213,12.784726,4.156426,2.003595,7.259503,5.894057,-0.388584,-6.185046,-0.038858,-0.281221,-3.553955,-0.028122,-0.495947,-10.660093,-0.049595,199,188.000000,,
Nauru,NRU,Polynesia and Micronesia,Pacific island nations,Naoero,True,,11875.000000,False,False,31.044208,22.845928,40.040205,28.430740,20.899892,36.976414,29.737474,30.075763,17.902809,43.927634,28.401932,17.029965,41.885862,29.238848,-0.498627,-1.676761,-0.049863,-0.968445,-3.119566,-0.096844,-0.028808,-0.101329,-0.002881,200,189.000000,,
