idf_region,country_idf,footnote,n_adults_1000s_2024,prev_2024_pct,age_adj_prev_2024_pct,undiagnosed_2024_pct,page
,Ukraine,,2276.8,8.0,6.0,36.9,111
,United Kingdom,,4454.6,9.2,7.4,28.7,111
,Uzbekistan,,1501.9,6.9,7.5,74.0,111
MENA,MENA,,84700.0,17.6,19.9,37.2,113
MENA,Afghanistan,,1932.8,9.7,11.7,71.4,113
MENA,Algeria,,4761.8,16.9,17.5,31.7,113
MENA,Bahrain,,197.6,17.8,22.1,46.4,113
MENA,Egypt,,13214.5,19.8,22.4,62.0,113
MENA,Iraq,,2669.4,11.0,13.4,47.1,113
MENA,Iran (Islamic Republic of),,5453.6,8.8,9.0,32.6,113
MENA,Jordan,,1086.5,16.3,20.5,18.6,113
MENA,Kuwait,,908.5,28.4,25.6,37.3,113
MENA,Lebanon,,439.7,13.6,12.3,26.1,113
MENA,Libya,,634.8,14.6,15.8,31.7,113
MENA,Morocco,,2881.0,11.6,11.9,31.7,113
MENA,Oman,,412.3,13.2,17.0,50.0,113
MENA,Pakistan,,34532.4,26.5,31.4,26.9,113
MENA,Qatar,,409.3,18.7,24.6,46.4,113
MENA,Saudi Arabia,,5344.6,21.4,23.1,43.6,113
MENA,State of Palestine,,315.3,11.2,15.5,30.2,113
MENA,Sudan,,3860.6,16.0,19.0,37.3,113
MENA,Syrian Arab Republic,,2246.1,15.7,19.0,26.1,113
MENA,Tunisia,,1392.9,16.6,16.0,31.7,113
MENA,United Arab Emirates,,1274.2,16.5,20.7,64.0,113
MENA,Yemen,,720.8,4.1,5.5,22.3,113
NAC,NAC,,56200.0,15.1,13.8,29.1,115
NAC,Antigua and Barbuda,,8.6,12.5,11.6,24.5,115
NAC,Aruba,,4.2,5.2,4.6,22.5,115
NAC,Bahamas,,26.8,8.9,8.9,24.5,115
NAC,Barbados,,34.4,16.4,13.2,23.8,115
NAC,Belize,,31.4,12.0,14.1,41.9,115
NAC,Bermuda,,8.1,16.7,13.4,26.4,115
NAC,Canada,,2822.1,9.7,7.7,28.9,115
NAC,Cayman Islands,,6.2,11.4,11.1,26.4,115
NAC,Curaçao,,22.1,15.5,13.4,24.5,115
NAC,Dominica,,6.7,12.8,12.9,24.5,115
NAC,Grenada,,9.4,11.1,11.3,24.5,115
NAC,Guyana,,75.7,14.9,16.4,36.0,115
NAC,Haiti,,541.8,7.9,8.5,29.4,115
NAC,Jamaica,,235.6,11.6,12.5,24.3,115
NAC,Mexico,,13587.4,15.8,16.4,41.3,115
NAC,Saint Kitts and Nevis,,5.0,14.5,13.8,24.5,115
NAC,Saint Lucia,,15.2,11.3,11.4,24.5,115
NAC,Saint Vincent and the Grenadines,,6.4,9.0,8.6,24.5,115
NAC,Suriname,,53.2,13.2,13.8,39.6,115
NAC,Trinidad and Tobago,,151.2,13.5,12.4,24.5,115
NAC,United States of America,,38536.4,15.7,13.7,24.8,115
NAC,United States Virgin Islands,,8.7,12.5,9.1,26.9,115
SACA,SACA,,35400.0,10.0,10.1,30.4,117
SACA,Argentina,,4342.1,14.1,14.0,29.1,117
SACA,Bolivia (Plurinational State of),,194.0,2.6,3.4,25.5,117
SACA,Brazil,,16621.4,10.7,10.6,31.9,117
SACA,Chile,,1863.7,13.0,12.2,17.1,117
SACA,Colombia,,3033.8,8.3,8.4,16.2,117
SACA,Costa Rica,,375.7,10.0,9.8,26.4,117
SACA,Cuba,,847.4,10.1,9.4,39.0,117
SACA,Dominican Republic,,1203.7,16.6,17.6,42.8,117
SACA,Ecuador,,552.8,4.6,4.9,20.0,117
SACA,El Salvador,,463.3,11.2,12.7,23.2,117
SACA,Guatemala,,1103.7,10.5,13.2,48.8,117
SACA,Honduras,,259.6,4.0,5.0,51.9,117
SACA,Nicaragua,,377.0,8.7,10.4,44.6,117
SACA,Panama,,312.8,10.7,11.1,39.8,117
SACA,Paraguay,,352.2,8.2,9.4,33.2,117
SACA,Peru,,1335.8,6.0,6.4,25.5,117
SACA,Puerto Rico,,345.8,14.1,10.9,26.9,117
SACA,Uruguay,,201.5,8.4,7.8,48.9,117
SACA,Venezuela (Bolivarian Republic of),,1580.7,8.5,8.6,33.6,117
SEA,SEA,,106900.0,9.7,10.8,42.7,119
SEA,Bangladesh,,13877.4,12.3,13.2,39.1,119
SEA,Bhutan,,57.3,10.4,12.0,39.9,119
SEA,India,,89826.9,9.5,10.5,43.0,119
SEA,Maldives,,30.9,8.4,9.5,28.2,119
SEA,Mauritius,,218.1,22.2,20.1,28.2,119
SEA,Nepal,,1259.1,6.6,7.7,70.4,119
SEA,Sri Lanka,,1600.5,10.7,10.2,37.7,119
WP,WP,,215400.0,12.4,11.1,50.0,121
WP,Australia,,1693.7,8.85,7.4,28.0,121
WP,Brunei Darussalam,,44.6,13.85,13.7,44.7,121
WP,Cambodia,,723.2,6.8,7.5,50.0,121
WP,China,,147981.2,13.79,11.9,49.7,121
WP,Dem. People's Republic of Korea,,2043.5,10.78,9.9,53.5,121
WP,Micronesia (Fed. States of),,12.1,17.41,19.2,73.2,121
WP,Fiji,,90.3,15.34,16.6,47.5,121
WP,French Polynesia,,51.2,23.47,22.8,32.9,121
WP,Guam,,24.4,21.93,20.3,32.9,121
WP,"China, Hong Kong SAR",,706.0,11.91,8.2,54.2,121
